FilePath,FileName,Directory,DateTimeOriginal,FileModifyDate,DateTime,DateTimeModified,DateTimeAdjusted,Region,Site,Camera,NewName
U:/Test Images/Peru/S90/SDZG 1/EK000039.JPG,EK000039.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 00:25:34,2014:07:05 22:25:34-07:00,2014-07-06 00:25:34,2014-07-05 22:25:34,2014-07-05 22:25:34,Test Images,Peru,S90,Test Images_Peru_20140706_002534_EK000039.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000040.JPG,EK000040.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 07:11:30,2014:07:06 05:11:30-07:00,2014-07-06 07:11:30,2014-07-06 05:11:30,2014-07-06 05:11:30,Test Images,Peru,S90,Test Images_Peru_20140706_071130_EK000040.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000041.JPG,EK000041.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 07:11:30,2014:07:06 05:11:30-07:00,2014-07-06 07:11:30,2014-07-06 05:11:30,2014-07-06 05:11:30,Test Images,Peru,S90,Test Images_Peru_20140706_071130_EK000041.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000042.JPG,EK000042.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 07:11:31,2014:07:06 05:11:30-07:00,2014-07-06 07:11:31,2014-07-06 05:11:30,2014-07-06 05:11:30,Test Images,Peru,S90,Test Images_Peru_20140706_071131_EK000042.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000043.JPG,EK000043.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 16:51:04,2014:07:06 14:51:04-07:00,2014-07-06 16:51:04,2014-07-06 14:51:04,2014-07-06 14:51:04,Test Images,Peru,S90,Test Images_Peru_20140706_165104_EK000043.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000044.JPG,EK000044.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 16:51:05,2014:07:06 14:51:04-07:00,2014-07-06 16:51:05,2014-07-06 14:51:04,2014-07-06 14:51:04,Test Images,Peru,S90,Test Images_Peru_20140706_165105_EK000044.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000045.JPG,EK000045.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 16:51:05,2014:07:06 14:51:04-07:00,2014-07-06 16:51:05,2014-07-06 14:51:04,2014-07-06 14:51:04,Test Images,Peru,S90,Test Images_Peru_20140706_165105_EK000045.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000046.JPG,EK000046.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 17:26:42,2014:07:06 15:26:42-07:00,2014-07-06 17:26:42,2014-07-06 15:26:42,2014-07-06 15:26:42,Test Images,Peru,S90,Test Images_Peru_20140706_172642_EK000046.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000047.JPG,EK000047.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 17:26:43,2014:07:06 15:26:42-07:00,2014-07-06 17:26:43,2014-07-06 15:26:42,2014-07-06 15:26:42,Test Images,Peru,S90,Test Images_Peru_20140706_172643_EK000047.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000048.JPG,EK000048.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:06 17:26:43,2014:07:06 15:26:42-07:00,2014-07-06 17:26:43,2014-07-06 15:26:42,2014-07-06 15:26:42,Test Images,Peru,S90,Test Images_Peru_20140706_172643_EK000048.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000049.JPG,EK000049.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:07 20:14:03,2014:07:07 18:14:02-07:00,2014-07-07 20:14:03,2014-07-07 18:14:02,2014-07-07 18:14:02,Test Images,Peru,S90,Test Images_Peru_20140707_201403_EK000049.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000050.JPG,EK000050.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:07 20:14:03,2014:07:07 18:14:02-07:00,2014-07-07 20:14:03,2014-07-07 18:14:02,2014-07-07 18:14:02,Test Images,Peru,S90,Test Images_Peru_20140707_201403_EK000050.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000051.JPG,EK000051.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:07 20:14:04,2014:07:07 18:14:04-07:00,2014-07-07 20:14:04,2014-07-07 18:14:04,2014-07-07 18:14:04,Test Images,Peru,S90,Test Images_Peru_20140707_201404_EK000051.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000052.JPG,EK000052.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:08 03:15:04,2014:07:08 01:15:04-07:00,2014-07-08 03:15:04,2014-07-08 01:15:04,2014-07-08 01:15:04,Test Images,Peru,S90,Test Images_Peru_20140708_031504_EK000052.JPG
